feature num 267 field num 33
WARNING:tensorflow:Variable += will be deprecated. Use variable.assign_add if you want assignment to the variable value or 'x = x + y' if you want a new python Tensor object.
2018-04-22 03:18:54.083857: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
loop:784 losses:197.26651001
loop:785 losses:212.113388062
loop:786 losses:186.011444092
loop:787 losses:169.424530029
loop:788 losses:124.481430054
loop:789 losses:38.6312103271
loop:790 losses:138.079681396
loop:791 losses:85.592414856
loop:792 losses:854.739562988
loop:793 losses:364.716918945
loop:794 losses:61.5235137939
loop:795 losses:388.308319092
loop:796 losses:291.43145752
loop:797 losses:233.564910889
loop:798 losses:315.389343262
loop:799 losses:276.769470215
loop:801 losses:385.629699707
loop:802 losses:405.943847656
loop:803 losses:454.900848389
loop:804 losses:509.669311523
loop:805 losses:470.806884766
loop:806 losses:308.569885254
loop:807 losses:288.429473877
loop:808 losses:219.069290161
loop:809 losses:185.787216187
loop:810 losses:101.362884521
loop:811 losses:68.7523345947
loop:812 losses:380.96774292
loop:813 losses:444.054504395
loop:814 losses:135.959793091
loop:815 losses:84.2435684204
loop:816 losses:77.4807815552
loop:817 losses:307.584533691
loop:818 losses:565.242675781
loop:819 losses:334.290649414
loop:820 losses:384.829650879
loop:821 losses:914.866271973
loop:822 losses:702.999694824
loop:823 losses:737.729492188
loop:824 losses:480.135498047
loop:825 losses:652.946899414
loop:826 losses:572.534423828
loop:827 losses:583.273620605
loop:828 losses:383.038330078
loop:829 losses:310.017089844
loop:830 losses:339.990905762
loop:831 losses:173.341827393
loop:832 losses:59.6166763306
loop:833 losses:52.5610160828
loop:834 losses:637.354003906
loop:835 losses:174.26550293
loop:836 losses:194.653198242
loop:837 losses:128.031326294
loop:838 losses:65.128364563
loop:839 losses:152.930099487
loop:840 losses:173.724029541
loop:841 losses:271.799682617
loop:842 losses:156.330505371
loop:843 losses:145.82611084
loop:844 losses:92.9866485596
loop:845 losses:71.859916687
loop:846 losses:144.074188232
loop:847 losses:386.483551025
loop:848 losses:57.2506484985
loop:849 losses:153.30569458
loop:851 losses:30.299703598
loop:852 losses:181.450958252
loop:853 losses:117.094345093
loop:854 losses:287.325622559
loop:855 losses:63.8127822876
loop:856 losses:150.839370728
loop:857 losses:215.346130371
loop:858 losses:57.4900550842
loop:859 losses:191.913528442
loop:860 losses:176.693603516
loop:861 losses:174.625671387
loop:862 losses:133.368743896
loop:863 losses:38.3988265991
loop:864 losses:584.412597656
loop:865 losses:49.572933197
loop:866 losses:102.149765015
loop:867 losses:51.8394470215
loop:868 losses:64.7944412231
loop:869 losses:45.651763916
loop:870 losses:85.051361084
loop:871 losses:53.1861228943
loop:872 losses:158.683197021
loop:873 losses:45.9758300781
loop:874 losses:26.1784133911
loop:875 losses:56.9471359253
loop:876 losses:97.4745330811
loop:877 losses:62.6181373596
loop:878 losses:174.809875488
loop:879 losses:175.264282227
